d_date_sk|d_date
2420119|1913-12-17
2420120|1913-12-18
2420121|1913-12-19
2420122|1913-12-20
2420123|1913-12-21
2420124|1913-12-22
2420125|1913-12-23
2420126|1913-12-24
2420127|1913-12-25
2420128|1913-12-26
2420129|1913-12-27
2420130|1913-12-28
2420131|1913-12-29
2420132|1913-12-30
2420133|1913-12-31
2420134|1914-01-01
2420135|1914-01-02
2420136|1914-01-03
2420137|1914-01-04
2420138|1914-01-05
2420139|1914-01-06
2420140|1914-01-07
2420141|1914-01-08
2420142|1914-01-09
2420143|1914-01-10
2420144|1914-01-11
2420145|1914-01-12
2420146|1914-01-13
2420147|1914-01-14
2420148|1914-01-15
2420149|1914-01-16
2420150|1914-01-17
2420151|1914-01-18
2420152|1914-01-19
2420153|1914-01-20
2420154|1914-01-21
2420155|1914-01-22
2420156|1914-01-23
2420157|1914-01-24
2420158|1914-01-25
2420159|1914-01-26
2420160|1914-01-27
2420161|1914-01-28
2420162|1914-01-29
2420163|1914-01-30
2420164|1914-01-31
2420165|1914-02-01
2420166|1914-02-02
2420167|1914-02-03
2420168|1914-02-04
2420169|1914-02-05
2420170|1914-02-06
2420171|1914-02-07
2420172|1914-02-08
2420173|1914-02-09
2420174|1914-02-10
2420175|1914-02-11
2420176|1914-02-12
2420177|1914-02-13
2420178|1914-02-14
2420179|1914-02-15
2420180|1914-02-16
2420181|1914-02-17
2420182|1914-02-18
2420183|1914-02-19
2420184|1914-02-20
2420185|1914-02-21
2420186|1914-02-22
2420187|1914-02-23
2420188|1914-02-24
2420189|1914-02-25
2420190|1914-02-26
2420191|1914-02-27
2420192|1914-02-28
2420193|1914-03-01
2420194|1914-03-02
2420195|1914-03-03
2420196|1914-03-04
2420197|1914-03-05
2420198|1914-03-06
2420199|1914-03-07
2420200|1914-03-08
2420201|1914-03-09
2420202|1914-03-10
2420203|1914-03-11
2420204|1914-03-12
2420205|1914-03-13
2420206|1914-03-14
2420207|1914-03-15
2420208|1914-03-16
2420209|1914-03-17
2420210|1914-03-18
2420211|1914-03-19
2420212|1914-03-20
2420213|1914-03-21
2420214|1914-03-22
2420215|1914-03-23
2420216|1914-03-24
2420217|1914-03-25
2420218|1914-03-26
2420219|1914-03-27
2420220|1914-03-28
2420221|1914-03-29
2420222|1914-03-30
2420223|1914-03-31
2420224|1914-04-01
2420225|1914-04-02
2420226|1914-04-03
2420227|1914-04-04
2420228|1914-04-05
2420229|1914-04-06
2420230|1914-04-07
2420231|1914-04-08
2420232|1914-04-09
2420233|1914-04-10
2420234|1914-04-11
2420235|1914-04-12
2420236|1914-04-13
2420237|1914-04-14
2420238|1914-04-15
2420239|1914-04-16
2420240|1914-04-17
2420241|1914-04-18
2420242|1914-04-19
2420243|1914-04-20
2420244|1914-04-21
2420245|1914-04-22
2420246|1914-04-23
2420247|1914-04-24
2420248|1914-04-25
2420249|1914-04-26
2420250|1914-04-27
2420251|1914-04-28
2420252|1914-04-29
2420253|1914-04-30
2420254|1914-05-01
2420255|1914-05-02
2420256|1914-05-03
2420257|1914-05-04
2420258|1914-05-05
2420259|1914-05-06
2420260|1914-05-07
2420261|1914-05-08
2420262|1914-05-09
2420263|1914-05-10
2420264|1914-05-11
2420265|1914-05-12
2420266|1914-05-13
2420267|1914-05-14
2420268|1914-05-15
2420269|1914-05-16
2420270|1914-05-17
2420271|1914-05-18
2420272|1914-05-19
2420273|1914-05-20
2420274|1914-05-21
2420275|1914-05-22
2420276|1914-05-23
2420277|1914-05-24
2420278|1914-05-25
2420279|1914-05-26
2420280|1914-05-27
2420281|1914-05-28
2420282|1914-05-29
2420283|1914-05-30
2420284|1914-05-31
2420285|1914-06-01
2420286|1914-06-02
2420287|1914-06-03
2420288|1914-06-04
2420289|1914-06-05
2420290|1914-06-06
2420291|1914-06-07
2420292|1914-06-08
2420293|1914-06-09
2420294|1914-06-10
2420295|1914-06-11
2420296|1914-06-12
2420297|1914-06-13
2420298|1914-06-14
2420299|1914-06-15
2420300|1914-06-16
2420301|1914-06-17
2420302|1914-06-18
2420303|1914-06-19
2420304|1914-06-20
2420305|1914-06-21
2420306|1914-06-22
2420307|1914-06-23
2420308|1914-06-24
2420309|1914-06-25
2420310|1914-06-26
2420311|1914-06-27
2420312|1914-06-28
2420313|1914-06-29
2420314|1914-06-30
2420315|1914-07-01
2420316|1914-07-02
2420317|1914-07-03
2420318|1914-07-04
2420319|1914-07-05
2420320|1914-07-06
2420321|1914-07-07
2420322|1914-07-08
2420323|1914-07-09
2420324|1914-07-10
2420325|1914-07-11
2420326|1914-07-12
2420327|1914-07-13
2420328|1914-07-14
2420329|1914-07-15
2420330|1914-07-16
2420331|1914-07-17
2420332|1914-07-18
2420333|1914-07-19
2420334|1914-07-20
2420335|1914-07-21
2420336|1914-07-22
2420337|1914-07-23
2420338|1914-07-24
2420339|1914-07-25
2420340|1914-07-26
2420341|1914-07-27
2420342|1914-07-28
2420343|1914-07-29
2420344|1914-07-30
2420345|1914-07-31
2420346|1914-08-01
2420347|1914-08-02
2420348|1914-08-03
2420349|1914-08-04
2420350|1914-08-05
2420351|1914-08-06
2420352|1914-08-07
2420353|1914-08-08
2420354|1914-08-09
2420355|1914-08-10
2420356|1914-08-11
2420357|1914-08-12
2420358|1914-08-13
2420359|1914-08-14
2420360|1914-08-15
2420361|1914-08-16
2420362|1914-08-17
2420363|1914-08-18
2420364|1914-08-19
2420365|1914-08-20
2420366|1914-08-21
2420367|1914-08-22
2420368|1914-08-23
2420369|1914-08-24
2420370|1914-08-25
2420371|1914-08-26
2420372|1914-08-27
2420373|1914-08-28
2420374|1914-08-29
2420375|1914-08-30
2420376|1914-08-31
2420377|1914-09-01
2420378|1914-09-02
2420379|1914-09-03
2420380|1914-09-04
2420381|1914-09-05
2420382|1914-09-06
2420383|1914-09-07
2420384|1914-09-08
2420385|1914-09-09
2420386|1914-09-10
2420387|1914-09-11
2420388|1914-09-12
2420389|1914-09-13
2420390|1914-09-14
2420391|1914-09-15
2420392|1914-09-16
2420393|1914-09-17
2420394|1914-09-18
2420395|1914-09-19
2420396|1914-09-20
2420397|1914-09-21
2420398|1914-09-22
2420399|1914-09-23
2420400|1914-09-24
2420401|1914-09-25
2420402|1914-09-26
2420403|1914-09-27
2420404|1914-09-28
2420405|1914-09-29
2420406|1914-09-30
2420407|1914-10-01
2420408|1914-10-02
2420409|1914-10-03
2420410|1914-10-04
2420411|1914-10-05
2420412|1914-10-06
2420413|1914-10-07
2420414|1914-10-08
2420415|1914-10-09
2420416|1914-10-10
2420417|1914-10-11
2420418|1914-10-12
2420419|1914-10-13
2420420|1914-10-14
2420421|1914-10-15
2420422|1914-10-16
2420423|1914-10-17
2420424|1914-10-18
2420425|1914-10-19
2420426|1914-10-20
2420427|1914-10-21
2420428|1914-10-22
2420429|1914-10-23
2420430|1914-10-24
2420431|1914-10-25
2420432|1914-10-26
2420433|1914-10-27
2420434|1914-10-28
2420435|1914-10-29
2420436|1914-10-30
2420437|1914-10-31
2420438|1914-11-01
2420439|1914-11-02
2420440|1914-11-03
2420441|1914-11-04
2420442|1914-11-05
2420443|1914-11-06
2420444|1914-11-07
2420445|1914-11-08
2420446|1914-11-09
2420447|1914-11-10
2420448|1914-11-11
2420449|1914-11-12
2420450|1914-11-13
2420451|1914-11-14
2420452|1914-11-15
2420453|1914-11-16
2420454|1914-11-17
2420455|1914-11-18
2420456|1914-11-19
2420457|1914-11-20
2420458|1914-11-21
2420459|1914-11-22
2420460|1914-11-23
2420461|1914-11-24
2420462|1914-11-25
2420463|1914-11-26
2420464|1914-11-27
2420465|1914-11-28
2420466|1914-11-29
2420467|1914-11-30
2420468|1914-12-01
2420469|1914-12-02
2420470|1914-12-03
2420471|1914-12-04
2420472|1914-12-05
2420473|1914-12-06
2420474|1914-12-07
2420475|1914-12-08
2420476|1914-12-09
2420477|1914-12-10
2420478|1914-12-11
2420479|1914-12-12
2420480|1914-12-13
2420481|1914-12-14
2420482|1914-12-15
2420483|1914-12-16
2420484|1914-12-17
2420485|1914-12-18
2420486|1914-12-19
2420487|1914-12-20
2420488|1914-12-21
2420489|1914-12-22
2420490|1914-12-23
2420491|1914-12-24
2420492|1914-12-25
2420493|1914-12-26
2420494|1914-12-27
2420495|1914-12-28
2420496|1914-12-29
2420497|1914-12-30
2420498|1914-12-31
2420499|1915-01-01
2420500|1915-01-02
2420501|1915-01-03
2420502|1915-01-04
2420503|1915-01-05
2420504|1915-01-06
2420505|1915-01-07
2420506|1915-01-08
2420507|1915-01-09
2420508|1915-01-10
2420509|1915-01-11
2420510|1915-01-12
2420511|1915-01-13
2420512|1915-01-14
2420513|1915-01-15
2420514|1915-01-16
2420515|1915-01-17
2420516|1915-01-18
2420517|1915-01-19
2420518|1915-01-20
2420519|1915-01-21
2420520|1915-01-22
2420521|1915-01-23
2420522|1915-01-24
2420523|1915-01-25
2420524|1915-01-26
2420525|1915-01-27
2420526|1915-01-28
2420527|1915-01-29
2420528|1915-01-30
2420529|1915-01-31
2420530|1915-02-01
2420531|1915-02-02
2420532|1915-02-03
2420533|1915-02-04
2420534|1915-02-05
2420535|1915-02-06
2420536|1915-02-07
2420537|1915-02-08
2420538|1915-02-09
2420539|1915-02-10
2420540|1915-02-11
2420541|1915-02-12
2420542|1915-02-13
2420543|1915-02-14
2420544|1915-02-15
2420545|1915-02-16
2420546|1915-02-17
2420547|1915-02-18
2420548|1915-02-19
2420549|1915-02-20
2420550|1915-02-21
2420551|1915-02-22
2420552|1915-02-23
2420553|1915-02-24
2420554|1915-02-25
2420555|1915-02-26
2420556|1915-02-27
2420557|1915-02-28
2420558|1915-03-01
2420559|1915-03-02
2420560|1915-03-03
2420561|1915-03-04
2420562|1915-03-05
2420563|1915-03-06
2420564|1915-03-07
2420565|1915-03-08
2420566|1915-03-09
2420567|1915-03-10
2420568|1915-03-11
2420569|1915-03-12
2420570|1915-03-13
2420571|1915-03-14
2420572|1915-03-15
2420573|1915-03-16
2420574|1915-03-17
2420575|1915-03-18
2420576|1915-03-19
2420577|1915-03-20
2420578|1915-03-21
2420579|1915-03-22
2420580|1915-03-23
2420581|1915-03-24
2420582|1915-03-25
2420583|1915-03-26
2420584|1915-03-27
2420585|1915-03-28
2420586|1915-03-29
2420587|1915-03-30
2420588|1915-03-31
2420589|1915-04-01
2420590|1915-04-02
2420591|1915-04-03
2420592|1915-04-04
2420593|1915-04-05
2420594|1915-04-06
2420595|1915-04-07
2420596|1915-04-08
2420597|1915-04-09
2420598|1915-04-10
2420599|1915-04-11
2420600|1915-04-12
2420601|1915-04-13
2420602|1915-04-14
2420603|1915-04-15
2420604|1915-04-16
2420605|1915-04-17
2420606|1915-04-18
2420607|1915-04-19
2420608|1915-04-20
2420609|1915-04-21
2420610|1915-04-22
2420611|1915-04-23
2420612|1915-04-24
2420613|1915-04-25
2420614|1915-04-26
2420615|1915-04-27
2420616|1915-04-28
2420617|1915-04-29
2420618|1915-04-30
2420619|1915-05-01
2420620|1915-05-02
2420621|1915-05-03
2420622|1915-05-04
2420623|1915-05-05
2420624|1915-05-06
2420625|1915-05-07
2420626|1915-05-08
2420627|1915-05-09
2420628|1915-05-10
2420629|1915-05-11
2420630|1915-05-12
2420631|1915-05-13
2420632|1915-05-14
2420633|1915-05-15
2420634|1915-05-16
2420635|1915-05-17
2420636|1915-05-18
2420637|1915-05-19
2420638|1915-05-20
2420639|1915-05-21
2420640|1915-05-22
2420641|1915-05-23
2420642|1915-05-24
2420643|1915-05-25
2420644|1915-05-26
2420645|1915-05-27
2420646|1915-05-28
2420647|1915-05-29
2420648|1915-05-30
2420649|1915-05-31
2420650|1915-06-01
2420651|1915-06-02
2420652|1915-06-03
2420653|1915-06-04
2420654|1915-06-05
2420655|1915-06-06
2420656|1915-06-07
2420657|1915-06-08
2420658|1915-06-09
2420659|1915-06-10
2420660|1915-06-11
2420661|1915-06-12
2420662|1915-06-13
2420663|1915-06-14
2420664|1915-06-15
2420665|1915-06-16
2420666|1915-06-17
2420667|1915-06-18
2420668|1915-06-19
2420669|1915-06-20
2420670|1915-06-21
2420671|1915-06-22
2420672|1915-06-23
2420673|1915-06-24
2420674|1915-06-25
2420675|1915-06-26
2420676|1915-06-27
2420677|1915-06-28
2420678|1915-06-29
2420679|1915-06-30
2420680|1915-07-01
2420681|1915-07-02
2420682|1915-07-03
2420683|1915-07-04
2420684|1915-07-05
2420685|1915-07-06
2420686|1915-07-07
2420687|1915-07-08
2420688|1915-07-09
2420689|1915-07-10
2420690|1915-07-11
2420691|1915-07-12
2420692|1915-07-13
2420693|1915-07-14
2420694|1915-07-15
2420695|1915-07-16
2420696|1915-07-17
2420697|1915-07-18
2420698|1915-07-19
2420699|1915-07-20
2420700|1915-07-21
2420701|1915-07-22
2420702|1915-07-23
2420703|1915-07-24
2420704|1915-07-25
2420705|1915-07-26
2420706|1915-07-27
2420707|1915-07-28
2420708|1915-07-29
2420709|1915-07-30
2420710|1915-07-31
2420711|1915-08-01
2420712|1915-08-02
2420713|1915-08-03
2420714|1915-08-04
2420715|1915-08-05
2420716|1915-08-06
2420717|1915-08-07
2420718|1915-08-08
2420719|1915-08-09
2420720|1915-08-10
2420721|1915-08-11
2420722|1915-08-12
2420723|1915-08-13
2420724|1915-08-14
2420725|1915-08-15
2420726|1915-08-16
2420727|1915-08-17
2420728|1915-08-18
2420729|1915-08-19
2420730|1915-08-20
2420731|1915-08-21
2420732|1915-08-22
2420733|1915-08-23
2420734|1915-08-24
2420735|1915-08-25
2420736|1915-08-26
2420737|1915-08-27
2420738|1915-08-28
2420739|1915-08-29
2420740|1915-08-30
2420741|1915-08-31
2420742|1915-09-01
2420743|1915-09-02
2420744|1915-09-03
2420745|1915-09-04
2420746|1915-09-05
2420747|1915-09-06
2420748|1915-09-07
2420749|1915-09-08
2420750|1915-09-09
2420751|1915-09-10
2420752|1915-09-11
2420753|1915-09-12
2420754|1915-09-13
2420755|1915-09-14
2420756|1915-09-15
2420757|1915-09-16
2420758|1915-09-17
2420759|1915-09-18
2420760|1915-09-19
2420761|1915-09-20
2420762|1915-09-21
2420763|1915-09-22
2420764|1915-09-23
2420765|1915-09-24
2420766|1915-09-25
2420767|1915-09-26
2420768|1915-09-27
2420769|1915-09-28
2420770|1915-09-29
2420771|1915-09-30
2420772|1915-10-01
2420773|1915-10-02
2420774|1915-10-03
2420775|1915-10-04
2420776|1915-10-05
2420777|1915-10-06
2420778|1915-10-07
2420779|1915-10-08
2420780|1915-10-09
2420781|1915-10-10
2420782|1915-10-11
2420783|1915-10-12
2420784|1915-10-13
2420785|1915-10-14
2420786|1915-10-15
2420787|1915-10-16
2420788|1915-10-17
2420789|1915-10-18
2420790|1915-10-19
2420791|1915-10-20
2420792|1915-10-21
2420793|1915-10-22
2420794|1915-10-23
2420795|1915-10-24
2420796|1915-10-25
2420797|1915-10-26
2420798|1915-10-27
2420799|1915-10-28
2420800|1915-10-29
2420801|1915-10-30
2420802|1915-10-31
2420803|1915-11-01
2420804|1915-11-02
2420805|1915-11-03
2420806|1915-11-04
2420807|1915-11-05
2420808|1915-11-06
2420809|1915-11-07
2420810|1915-11-08
2420811|1915-11-09
2420812|1915-11-10
2420813|1915-11-11
2420814|1915-11-12
2420815|1915-11-13
2420816|1915-11-14
2420817|1915-11-15
2420818|1915-11-16
2420819|1915-11-17
2420820|1915-11-18
2420821|1915-11-19
2420822|1915-11-20
2420823|1915-11-21
2420824|1915-11-22
2420825|1915-11-23
2420826|1915-11-24
2420827|1915-11-25
2420828|1915-11-26
2420829|1915-11-27
2420830|1915-11-28
2420831|1915-11-29
2420832|1915-11-30
2420833|1915-12-01
2420834|1915-12-02
2420835|1915-12-03
2420836|1915-12-04
2420837|1915-12-05
2420838|1915-12-06
2420839|1915-12-07
2420840|1915-12-08
2420841|1915-12-09
2420842|1915-12-10
2420843|1915-12-11
2420844|1915-12-12
2420845|1915-12-13
2420846|1915-12-14
2420847|1915-12-15
2420848|1915-12-16
2420849|1915-12-17
2420850|1915-12-18
2420851|1915-12-19
2420852|1915-12-20
2420853|1915-12-21
2420854|1915-12-22
2420855|1915-12-23
2420856|1915-12-24
2420857|1915-12-25
2420858|1915-12-26
2420859|1915-12-27
2420860|1915-12-28
2420861|1915-12-29
2420862|1915-12-30
2420863|1915-12-31
2420864|1916-01-01
2420865|1916-01-02
2420866|1916-01-03
2420867|1916-01-04
2420868|1916-01-05
2420869|1916-01-06
2420870|1916-01-07
2420871|1916-01-08
2420872|1916-01-09
2420873|1916-01-10
2420874|1916-01-11
2420875|1916-01-12
2420876|1916-01-13
2420877|1916-01-14
2420878|1916-01-15
2420879|1916-01-16
2420880|1916-01-17
2420881|1916-01-18
2420882|1916-01-19
2420883|1916-01-20
2420884|1916-01-21
2420885|1916-01-22
2420886|1916-01-23
2420887|1916-01-24
2420888|1916-01-25
2420889|1916-01-26
2420890|1916-01-27
2420891|1916-01-28
2420892|1916-01-29
2420893|1916-01-30
2420894|1916-01-31
2420895|1916-02-01
2420896|1916-02-02
2420897|1916-02-03
2420898|1916-02-04
2420899|1916-02-05
2420900|1916-02-06
2420901|1916-02-07
2420902|1916-02-08
2420903|1916-02-09
2420904|1916-02-10
2420905|1916-02-11
2420906|1916-02-12
2420907|1916-02-13
2420908|1916-02-14
2420909|1916-02-15
2420910|1916-02-16
2420911|1916-02-17
2420912|1916-02-18
2420913|1916-02-19
2420914|1916-02-20
2420915|1916-02-21
2420916|1916-02-22
2420917|1916-02-23
2420918|1916-02-24
2420919|1916-02-25
2420920|1916-02-26
2420921|1916-02-27
2420922|1916-02-28
2420923|1916-02-29
2420924|1916-03-01
2420925|1916-03-02
2420926|1916-03-03
2420927|1916-03-04
2420928|1916-03-05
2420929|1916-03-06
2420930|1916-03-07
2420931|1916-03-08
2420932|1916-03-09
2420933|1916-03-10
2420934|1916-03-11
2420935|1916-03-12
2420936|1916-03-13
2420937|1916-03-14
2420938|1916-03-15
2420939|1916-03-16
2420940|1916-03-17
2420941|1916-03-18
2420942|1916-03-19
2420943|1916-03-20
2420944|1916-03-21
2420945|1916-03-22
2420946|1916-03-23
2420947|1916-03-24
2420948|1916-03-25
2420949|1916-03-26
2420950|1916-03-27
2420951|1916-03-28
2420952|1916-03-29
2420953|1916-03-30
2420954|1916-03-31
2420955|1916-04-01
2420956|1916-04-02
2420957|1916-04-03
2420958|1916-04-04
2420959|1916-04-05
2420960|1916-04-06
2420961|1916-04-07
2420962|1916-04-08
2420963|1916-04-09
2420964|1916-04-10
2420965|1916-04-11
2420966|1916-04-12
2420967|1916-04-13
2420968|1916-04-14
2420969|1916-04-15
2420970|1916-04-16
2420971|1916-04-17
2420972|1916-04-18
2420973|1916-04-19
2420974|1916-04-20
2420975|1916-04-21
2420976|1916-04-22
2420977|1916-04-23
2420978|1916-04-24
2420979|1916-04-25
2420980|1916-04-26
2420981|1916-04-27
2420982|1916-04-28
2420983|1916-04-29
2420984|1916-04-30
2420985|1916-05-01
2420986|1916-05-02
2420987|1916-05-03
2420988|1916-05-04
2420989|1916-05-05
2420990|1916-05-06
2420991|1916-05-07
2420992|1916-05-08
2420993|1916-05-09
2420994|1916-05-10
2420995|1916-05-11
2420996|1916-05-12
2420997|1916-05-13
2420998|1916-05-14
2420999|1916-05-15
2421000|1916-05-16
2421001|1916-05-17
2421002|1916-05-18
2421003|1916-05-19
2421004|1916-05-20
2421005|1916-05-21
2421006|1916-05-22
2421007|1916-05-23
2421008|1916-05-24
2421009|1916-05-25
2421010|1916-05-26
2421011|1916-05-27
2421012|1916-05-28
2421013|1916-05-29
2421014|1916-05-30
2421015|1916-05-31
2421016|1916-06-01
2421017|1916-06-02
2421018|1916-06-03
2421019|1916-06-04
2421020|1916-06-05
2421021|1916-06-06
2421022|1916-06-07
2421023|1916-06-08
2421024|1916-06-09
2421025|1916-06-10
2421026|1916-06-11
2421027|1916-06-12
2421028|1916-06-13
2421029|1916-06-14
2421030|1916-06-15
2421031|1916-06-16
2421032|1916-06-17
2421033|1916-06-18
2421034|1916-06-19
2421035|1916-06-20
2421036|1916-06-21
2421037|1916-06-22
2421038|1916-06-23
2421039|1916-06-24
2421040|1916-06-25
2421041|1916-06-26
2421042|1916-06-27
2421043|1916-06-28
2421044|1916-06-29
2421045|1916-06-30
2421046|1916-07-01
2421047|1916-07-02
2421048|1916-07-03
2421049|1916-07-04
2421050|1916-07-05
2421051|1916-07-06
2421052|1916-07-07
2421053|1916-07-08
2421054|1916-07-09
2421055|1916-07-10
2421056|1916-07-11
2421057|1916-07-12
2421058|1916-07-13
2421059|1916-07-14
2421060|1916-07-15
2421061|1916-07-16
2421062|1916-07-17
2421063|1916-07-18
2421064|1916-07-19
2421065|1916-07-20
2421066|1916-07-21
2421067|1916-07-22
2421068|1916-07-23
2421069|1916-07-24
2421070|1916-07-25
2421071|1916-07-26
2421072|1916-07-27
2421073|1916-07-28
2421074|1916-07-29
2421075|1916-07-30
2421076|1916-07-31
2421077|1916-08-01
2421078|1916-08-02
2421079|1916-08-03
2421080|1916-08-04
2421081|1916-08-05
2421082|1916-08-06
2421083|1916-08-07
2421084|1916-08-08
2421085|1916-08-09
2421086|1916-08-10
2421087|1916-08-11
2421088|1916-08-12
2421089|1916-08-13
2421090|1916-08-14
2421091|1916-08-15
2421092|1916-08-16
2421093|1916-08-17
2421094|1916-08-18
2421095|1916-08-19
2421096|1916-08-20
2421097|1916-08-21
2421098|1916-08-22
2421099|1916-08-23
2421100|1916-08-24
2421101|1916-08-25
2421102|1916-08-26
2421103|1916-08-27
2421104|1916-08-28
2421105|1916-08-29
2421106|1916-08-30
2421107|1916-08-31
2421108|1916-09-01
2421109|1916-09-02
2421110|1916-09-03
2421111|1916-09-04
2421112|1916-09-05
2421113|1916-09-06
2421114|1916-09-07
2421115|1916-09-08
2421116|1916-09-09
2421117|1916-09-10
2421118|1916-09-11
2421119|1916-09-12
2421120|1916-09-13
2421121|1916-09-14
2421122|1916-09-15
2421123|1916-09-16
2421124|1916-09-17
2421125|1916-09-18
2421126|1916-09-19
2421127|1916-09-20
2421128|1916-09-21
2421129|1916-09-22
2421130|1916-09-23
2421131|1916-09-24
2421132|1916-09-25
2421133|1916-09-26
2421134|1916-09-27
2421135|1916-09-28
2421136|1916-09-29
2421137|1916-09-30
2421138|1916-10-01
2421139|1916-10-02
2421140|1916-10-03
2421141|1916-10-04
2421142|1916-10-05
2421143|1916-10-06
2421144|1916-10-07
2421145|1916-10-08
2421146|1916-10-09
2421147|1916-10-10
2421148|1916-10-11
2421149|1916-10-12
2421150|1916-10-13
2421151|1916-10-14
2421152|1916-10-15
2421153|1916-10-16
2421154|1916-10-17
2421155|1916-10-18
2421156|1916-10-19
2421157|1916-10-20
2421158|1916-10-21
2421159|1916-10-22
2421160|1916-10-23
2421161|1916-10-24
2421162|1916-10-25
2421163|1916-10-26
2421164|1916-10-27
2421165|1916-10-28
2421166|1916-10-29
2421167|1916-10-30
2421168|1916-10-31
2421169|1916-11-01
2421170|1916-11-02
2421171|1916-11-03
2421172|1916-11-04
2421173|1916-11-05
2421174|1916-11-06
2421175|1916-11-07
2421176|1916-11-08
2421177|1916-11-09
2421178|1916-11-10
2421179|1916-11-11
2421180|1916-11-12
2421181|1916-11-13
2421182|1916-11-14
2421183|1916-11-15
2421184|1916-11-16
2421185|1916-11-17
2421186|1916-11-18
2421187|1916-11-19
2421188|1916-11-20
2421189|1916-11-21
2421190|1916-11-22
2421191|1916-11-23
2421192|1916-11-24
2421193|1916-11-25
2421194|1916-11-26
2421195|1916-11-27
2421196|1916-11-28
2421197|1916-11-29
2421198|1916-11-30
2421199|1916-12-01
2421200|1916-12-02
2421201|1916-12-03
2421202|1916-12-04
2421203|1916-12-05
2421204|1916-12-06
2421205|1916-12-07
2421206|1916-12-08
2421207|1916-12-09
2421208|1916-12-10
2421209|1916-12-11
2421210|1916-12-12
2421211|1916-12-13
2421212|1916-12-14
2421213|1916-12-15
2421214|1916-12-16
2421215|1916-12-17
2421216|1916-12-18
2421217|1916-12-19
2421218|1916-12-20
2421219|1916-12-21
2421220|1916-12-22
2421221|1916-12-23
2421222|1916-12-24
2421223|1916-12-25
2421224|1916-12-26
2421225|1916-12-27
2421226|1916-12-28
2421227|1916-12-29
2421228|1916-12-30
2421229|1916-12-31
2421230|1917-01-01
2421231|1917-01-02
2421232|1917-01-03
2421233|1917-01-04
2421234|1917-01-05
2421235|1917-01-06
2421236|1917-01-07
2421237|1917-01-08
2421238|1917-01-09
2421239|1917-01-10
2421240|1917-01-11
2421241|1917-01-12
2421242|1917-01-13
2421243|1917-01-14
2421244|1917-01-15
2421245|1917-01-16
2421246|1917-01-17
2421247|1917-01-18
2421248|1917-01-19
2421249|1917-01-20
2421250|1917-01-21
2421251|1917-01-22
2421252|1917-01-23
2421253|1917-01-24
2421254|1917-01-25
2421255|1917-01-26
2421256|1917-01-27
2421257|1917-01-28
2421258|1917-01-29
2421259|1917-01-30
2421260|1917-01-31
2421261|1917-02-01
2421262|1917-02-02
2421263|1917-02-03
2421264|1917-02-04
2421265|1917-02-05
2421266|1917-02-06
2421267|1917-02-07
2421268|1917-02-08
2421269|1917-02-09
2421270|1917-02-10
2421271|1917-02-11
2421272|1917-02-12
2421273|1917-02-13
2421274|1917-02-14
2421275|1917-02-15
2421276|1917-02-16
2421277|1917-02-17
2421278|1917-02-18
2421279|1917-02-19
2421280|1917-02-20
2421281|1917-02-21
2421282|1917-02-22
2421283|1917-02-23
2421284|1917-02-24
2421285|1917-02-25
2421286|1917-02-26
2421287|1917-02-27
2421288|1917-02-28
2421289|1917-03-01
2421290|1917-03-02
2421291|1917-03-03
2421292|1917-03-04
2421293|1917-03-05
2421294|1917-03-06
2421295|1917-03-07
2421296|1917-03-08
2421297|1917-03-09
2421298|1917-03-10
2421299|1917-03-11
2421300|1917-03-12
2421301|1917-03-13
2421302|1917-03-14
2421303|1917-03-15
2421304|1917-03-16
2421305|1917-03-17
2421306|1917-03-18
2421307|1917-03-19
2421308|1917-03-20
2421309|1917-03-21
2421310|1917-03-22
2421311|1917-03-23
2421312|1917-03-24
2421313|1917-03-25
2421314|1917-03-26
2421315|1917-03-27
2421316|1917-03-28
2421317|1917-03-29
2421318|1917-03-30
2421319|1917-03-31
2421320|1917-04-01
2421321|1917-04-02
2421322|1917-04-03
2421323|1917-04-04
2421324|1917-04-05
2421325|1917-04-06
2421326|1917-04-07
2421327|1917-04-08
2421328|1917-04-09
2421329|1917-04-10
2421330|1917-04-11
2421331|1917-04-12
2421332|1917-04-13
2421333|1917-04-14
2421334|1917-04-15
2421335|1917-04-16
2421336|1917-04-17
2421337|1917-04-18
2421338|1917-04-19
2421339|1917-04-20
2421340|1917-04-21
2421341|1917-04-22
2421342|1917-04-23
2421343|1917-04-24
2421344|1917-04-25
2421345|1917-04-26
2421346|1917-04-27
2421347|1917-04-28
2421348|1917-04-29
2421349|1917-04-30
2421350|1917-05-01
2421351|1917-05-02
2421352|1917-05-03
2421353|1917-05-04
2421354|1917-05-05
2421355|1917-05-06
2421356|1917-05-07
2421357|1917-05-08
2421358|1917-05-09
2421359|1917-05-10
2421360|1917-05-11
2421361|1917-05-12
2421362|1917-05-13
2421363|1917-05-14
2421364|1917-05-15
2421365|1917-05-16
2421366|1917-05-17
2421367|1917-05-18
2421368|1917-05-19
2421369|1917-05-20
2421370|1917-05-21
2421371|1917-05-22
2421372|1917-05-23
2421373|1917-05-24
2421374|1917-05-25
2421375|1917-05-26
2421376|1917-05-27
2421377|1917-05-28
2421378|1917-05-29
2421379|1917-05-30
2421380|1917-05-31
2421381|1917-06-01
2421382|1917-06-02
2421383|1917-06-03
2421384|1917-06-04
2421385|1917-06-05
2421386|1917-06-06
2421387|1917-06-07
2421388|1917-06-08
2421389|1917-06-09
